Fecha;Documento;Titulo;Observaciones
01/dic/2010;MIL-STD-464C;ELECTROMAGNETIC ENVIRONMENTAL EFFECTS;"This standard establishes electromagnetic environmental effects (E3) interface requirements and verification criteria for airborne, sea, space, and ground systems, including associated ordnance.
12/dic/2014;MIL-STD-516C;AIRWORTHINESS CERTIFICATION CRITERIA;This document establishes the airworthiness certification criteria to be used in the determination of airworthiness of all manned and unmanned, fixed and rotary wing air vehicle systems. It is a foundational document to be used by the system program manager, chief engineer, and contractors to define their air system\'s airworthiness certification basis.
12/mar/2004;MIL-STD-704F;AIRCRAFT ELECTRIC POWER CHARACTERISTICS;Requirements and characteristics of aircraft electric power provided at the input terminals of electric utilization equipment. MIL-HDBK-704-1 through-8 defines test methods and procedures for determining airborne utilization equipment compliance with the electric power characteristics requirements defined herein. Electromagnetic interference and voltage spikes are not covered by this standard.
06/may/1976;MIL-STD-709C;AMMUNITION COLOR CODING;This standard establishes a color coding system for ammunition with the exceptions of ammunition under 1.1.1.
31/ene/2019;MIL-STD-810H;ENVIRONMENTAL ENGINEERING CONSIDERATIONS AND LABORATORY TESTS;This Standard contains materiel acquisition program planning and engineering direction for considering the influences that environmental stresses have on materiel throughout all phases of its service life.
16/nov/2012;MIL-STD-8591A;DESIGN CRITERIA: STANDARD AIRBORNE STORES, SUSPENSION EQUIPMENT AND AIRCRAFT-STORE INTERFACE (CARRIAGE PHASE);This standard sets forth general structural and mechanical design criteria for airborne stores, suspension equipment and their associated interfaces. Provisions are included to promote interoperability among military aircraft of all Services of the Department of Defense and NATO members’ aircraft. Requirements are provided for design, analysis, and testing of airborne stores, suspension equipment and the aircraft-store interface during captive operations.
06/oct/2020;MIL-STD-881D;WORK BREAKDOWN STRUCTURES FOR DEFENSE MATERIEL ITEMS;This Standard presents direction for effectively preparing, understanding, and presenting a Work Breakdown Structure (WBS). It provides the framework for Department of Defense (DOD) Program Managers to define their program’s WBS and to defense contractors in their application and extension of the Program and contract’s WBS to report additional details associated with their agreements with Government Program Managers. Section 1 defines and describes the WBS. Section 2 provides instructions on how the WBS is applied as well as how to develop a Program WBS in the pre-award timeframe (i.e., before a contract or government performed effort has begun). Section 3 provides direction for developing and implementing a Contract WBS and Section 4 examines the role of the WBS in the post-award timeframe. Throughout this standard, the word “contract” and “defense contractor” is used to refer to both literal contracts with private industry but also refers to agreements between a Program Office and other government organizations (e.g., test sites, depots, labs, federally funded research and development centers (FFRDC)). This Standard also provides WBS definitions for specific defense materiel commodity systems in Appendices A through J. Appendix K addresses WBS elements that are common to all systems, as well as those which use unique elements (e.g., Space Systems, Information Systems/Defense Business Systems, Launch Systems, and Strategic Missile Systems). Appendix L presents for the Cost Assessment and Program Evaluation (CAPE) Sustainment Cost Estimating Structure (CES) and its associated definitions for informational purposes. The purpose of providing sustainment information is to present an explanation of transitioning from reporting using a WBS to reporting sustainment costs using the CES, regardless of acquisition phase or type of funds used.
11/may/2012;MIL-STD-882E;STANDARD PRACTICE SYSTEM SAFETY;This Standard covers hazards as they apply to systems / products / equipment / infrastructure (including both hardware and software) throughout design, development, test, production, use, and disposal.
31/ene/2003;MMPDS-01;METALLIC MATERIALS PROPERTIES DEVELOPMENT AND STANDARDIZATION;MMPDS-01, METALLIC MATERIALS PROPERTIES DEVELOPMENT AND STANDARDIZATION (MMPDS) (31 JAN 2003) [SUPERSEDES MIL-HDBK-5J] [71 MB DOWNLOAD]., MMPDS, "Metallic Materials Properties Development and Standardization (MMPDS)," issued by the Federal Aviation Administration, was adopted on 18 January 2007 for use by the Department of Defense (DoD). The Metallic Material Properties Development and Standardization (MMPDS) Handbook is a suitable replacement for MIL-HDBK-5, which was canceled on 5 May 2004. However, users are cautioned to evaluate the MMPDS Handbook for their particular application before using it as a replacement document. It is recognized internationally as a reliable source of aircraft materials data for aerospace materials selection and analysis. Consistent and reliable methods are used to collect, analyze, and present statistically based material and fastener allowable properties. The Handbook is the only publicly available source in the U.S. for material allowables that the Federal Avaiation Administration generally accepts for compliance with Federal Aviation Regulations (FAR) for material strength properties and design values for aircraft certification and continued airworthiness. Moreover, it is the only publicly available source worldwide for fastener joint allowables that comply with the FARs. This edition, MMPDS-01, incorporates the additions and changes to aircraft metallic material design properties and analysis guidelines approved at the 1st and 2nd MMPDS government/industry coordination meetings. This year, 2003, marks the first year of publication of the MMPDS Handbook and the final year of publication of MIL-HDBK-5. For this year only, MMPDS-01 and MIL-HDBK-5J will be technically equivalent. In the spring of 2004, when the 1st Change Notice of MMPDS-01 is published, MIL-HDBK-5 will be designated noncurrent and MMPDS will become the only government recognized source in the U.S. of published design allowable properties for metallic commercial and military aircraft structures and mechanically fastened joints. In this way, the 65-year legacy of MIL-HDBK-5, and its predecessor ANC-5, will be maintained.
01/ago/2002;NASA FTA 1-1;Fault Tree Handbook with Aerospace Applications;This handbook is an update of the original Fault Tree Handbook published in 1981. It is written for the informed reader who has some knowledge of system analysis and has knowledge of basic mathematics. This handbook is intended for system analysts, system engineers, and managers. No previous knowledge or training in statistics, reliability, or risk analysis is assumed. Basic concepts of statistical analysis, reliability analysis, and risk analysis are presented in relevant chapters and in the appendices. The first part of the handbook describes the concepts, steps, tools, and uses of fault tree analysis (FTA). FTA is a deductive, failure-based approach. As a deductive approach, FTA starts with an undesired event, such as failure of a main engine, and then determines (deduces) its causes using a systematic, backward-stepping process. The second part of the handbook contains examples of the application of FTA in studies that have been previously performed. The focus is on aerospace applications
05/oct/2017;NASA-STD-5005D;STANDARD FOR THE DESIGN AND FABRICATION OF GROUND SUPPORT EQUIPMENT;This Standard establishes minimum requirements and engineering best practices for design and development of ground systems and equipment intended for use in preparing space flight systems for flight after acceptance by the Government. This Standard does not apply to facilities or equipment used in the manufacturing of space flight systems. 
12/dic/2007;NTC-ISO-2859-1;PROCEDIMIENTOS DE MUESTREO PARA INSPECCIÓN POR ATRIBUTOS PARTE 10: INTRODUCCIÓN A LA SERIE DE NORMAS NTC-ISO 2859 SOBRE EL MUESTREO PARA INSPECCIÓN POR ATRIBUTOS;La NTC-ISO 2859-2 suministra los planes de muestreo que se aplican cuando se van a tomar muestras de lotes individuales o aislados. Los planes de muestreo son, en muchos casos, idénticos a aquellos de la NTC-ISO 2859-1. Todas las tablas de los planes de muestreo de la NTC-ISO 2859-2 incluyen información relacionada con el nivel de calidad que se requiere para garantizar una alta probabilidad de aceptación del lote. 
07/dic/2022;RACAE 021;Certificación de productos aeronáuticos y reconocimiento organizaciones de diseño y producción;El contenido de este reglamento fue estructurado con base a regulaciones de aeronavegabilidad civiles y militares internacionalmente reconocidas, está dirigido a los EAE, academia y la industria aeronáutica colombiana que diseñe y/o fabrique productos aeronáuticos para los EAE, en cuanto a: (1) Derechos y obligaciones del solicitante, titulares de cualquier certificado o documento equivalente emitido de conformidad con este RACAE. (2) Requisitos para la emisión, validación, aceptación o enmienda de cualquier certificado o documento equivalente emitido de conformidad con este RACAE. Nota.- Los costos asociados a los procesos de certificación relacionados en esta sección y el sostenimiento de la certificación, estarán a cargo del solicitante o titular, según corresponda.
14/dic/2023;RACAE 043;Mantenimiento;En ningún caso, los criterios mínimos y normativas presentes serán limitantes para la planeación y desarrollo de operaciones de defensa y seguridad nacional, cuando las condiciones así lo exijan. El Comandante o Director de cada EAE, debe determinar la responsabilidad y delegación en la toma de decisiones en este aspecto. (d) El contenido del presente RACAE, está dirigido a los EAE, para que establezcan de forma autónoma y responsable, la planificación, ejecución y control del mantenimiento en sus diferentes niveles y capacidades.
08/oct/2020;RACAE 145;Organizaciones de mantenimiento aprobadas;Se establece que un EAE, no debe operar un producto aeronáutico a menos que una Organización de Mantenimiento Aprobada (OMA) u otra organización que funcione como un sistema equivalente, haya realizado el mantenimiento para que entre en servicio, cualquiera de esas alternativas debe ser previamente aprobada por el OCA del EAE. De igual manera, ninguna OMA, puede operar sin contar con la respectiva certificación emitida por el OCA.
12/dic/2018;RACAE FAC-AE-00;Reglamento Aeronáutico Colombiano para Aviación de Estado (RACAE), Quinta Parte: Operaciones Aéreas, Capitulo 20: Operación de Sistemas de Aeronaves Remotamente Tripuladas (SIART);Sistema de calidad revisión y concertación por parte de expertos técnicos de las aviaciones de estado (EJC, ARC, FAC y PONAL), quienes, mediante la revisión en mesas de trabajo de cada uno de los capítulos que se presentan a continuación, consolidaron la información que hace parte de este reglamento.
20/nov/2014;SAE EIA-649-1;Configuration Management Requirements For Defense Contracts;This document applies to hardware and software and provides CM requirements to be placed on contracts after being tailored by the Acquirer. The requirements have been organized by the following five CM functions: Configuration Planning and Management, Identification, Change Management, Status Accounting, Verification and Audit.
18/jun/2020;STANAG 3733;LASER PULSE REPETITION FREQUENCIES (PRF) AND CHARACTERISTICS OF LASER DESIGNATORS AND MARKERS;The aim of this agreement is to provide criteria for the categorization of laser designator systems in order to correctly select a designator to perform a particular mission with an available weapon. GBU
01/nov/2018;STANAG 4241;BULLET IMPACT MUNITION TEST PROCEDURES;The aim of this Standard is to specify the test requirements and procedures to provide evidence of the reaction of munitions and weapon systems to the threats represented from being struck by small arms projectile(s). 
28/nov/2019;STANAG 4370;ENVIRONMENTAL TESTING;The aim of this agreement is to give guidelines on the management of environmental testing of defense material and to standardize environmental testing processes.
01/mar/2020;STANAG 4382;SLOW HEATING TEST PROCEDURES FOR MUNITIONS;The aim of this Agreement is to provide a standard test procedure for assessing the response of a munition when subjected to a heat source that slowly heats a nearby or adjacent storage hold (magazine), such as on a ship, in a depot or on a railcar.
01/dic/2020;STANAG 4396;SYMPATHETIC REACTION TEST PROCEDURES FOR MUNITIONS;The aim of this AOP is to specify the test requirements and procedures to provide evidence of the potential for munitions or weapon systems to sympathetically react to the worst-case credible reaction of an adjacent munition or weapon system. 
01/mar/2019;STANAG 4496;FRAGMENT IMPACT TEST PROCEDURES FOR MUNITIONS;The aim of this Standard is to specify the test requirements and procedures to provide evidence of the reaction of munitions and weapon systems to the threats represented from being struck by a fragment.
08/oct/2001;STANAG 4518;SAFE DISPOSAL OF MUNITIONS, DESIGN PRINCIPLES AND REQUIREMENTS, AND SAFETY ASSESSMENT;The aim of this agreement is to standardise design safety principles, design safety requirements and the assessment process for the safe disposal of munitions.
01/nov/2018;STANAG 4526;SHAPED CHARGE JET MUNITION TEST PROCEDURE;The aim of this Standard is to specify the test requirements and procedures to provide evidence of the reaction of munitions and weapon systems to the threats represented from being struck by a shaped charge weapon.
03/sep/2009;STANAG 4671;UAV SYSTEMS AIRWORTHINESS REQUIREMENTS;The aim of this agreement is to establish a baseline set of airworthiness standards in relation to the design and construction of military UAVs. With a maximum take-off mass of 150 kilograms to 20000 kilograms
24/oct/2023;STANAG 4703;LIGHT UNMANNED AIRCRAFT SYSTEMS AIRWORTHINESS REQUIREMENTS – AEP-83 EDITION C;This document contains the minimum set of technical airworthiness requirements intended for the airworthiness certification of fixed-wing Light UAS with a maximum take-off weight not greater than 150 kg and an impact energy1 greater than 66 J (49 ft-lb) that intend to regularly operate in non-segregated airspace. The lower limit is established according to available blunt trauma studies showing that below this level it is reasonably expected that a fatal injury should not occur if the UA strikes an unprotected person. It is recognized that 66 J is a conservative value based on current research that will be reviewed after further investigation. For UA below the 66J impact energy threshold, it is reasonable that a number of requirements can be relaxed. Specific airworthiness requirements must be approved by the Certifying Authority on a case-by-case basis. Annex J of this document provides applicable guidelines, that are not limited to fixed wing aspects
16/jun/2017;STANAG 4737;UAS WEAPONS INTEGRATION - AEP-82 EDITION A GUIDELINES FOR THE INTEGRATION OF WEAPONS ON UNMANNED PLATFORMS;This document: a. Reviews Weapon System Architecture and concepts for armed manned aircraft, b. Identifies the functional and organizational structure of a joint, coalition force employing armed manned aircraft in support of various missions NATO UNCLASSIFIED AEP-82.1 1-3 Edition A Version 1 NATO UNCLASSIFIED and the associated operational doctrine as specified in the applicable Allied Joint Publications (AJPs), c. Identifies the expected impacts of using armed UAS in support of the joint coalition missions in lieu of and/or in conjunction with armed manned aircraft, including impacts on current operational doctrine, and d. Provides information on weapon integration on and operations of manned platforms which can be useful to the integration of similar weapons on unmanned platforms
PDTE;STANAG 4746;LIGHT ROTARY WING UAS SYSTEMS AIRWORTHINESS REQUIREMENTS (USAR-RW-LIGHT) AEP-89;EN ESTUDIO, SIN PUBLICAR a 16feb26
